"SITE","DATE","SP_CODE","COUNT","AREA","COMMON_NAME"
"NAPL","2016-07-26","CPUN",10,80,"Blacksmith"
"NAPL","2016-07-26","CPUN",8,80,"Blacksmith"
"NAPL","2017-07-24","CPUN",0,80,"Blacksmith"
"NAPL","2018-07-16","CPUN",5,80,"Blacksmith"
"NAPL","2019-07-18","CPUN",2,80,"Blacksmith"
"NAPL","2020-07-23","CPUN",1,80,"Blacksmith"
"NAPL","2020-07-23","CPUN",15,80,"Blacksmith"
"NAPL","2021-07-26","CPUN",0,80,"Blacksmith"
"NAPL","2022-07-19","CPUN",4,80,"Blacksmith"
"NAPL","2023-07-19","CPUN",5,80,"Blacksmith"
"NAPL","2024-07-24","CPUN",5,80,"Blacksmith"
"NAPL","2016-07-26","EJAC",2,80,"Black Surfperch"
"NAPL","2016-07-26","EJAC",1,80,"Black Surfperch"
"NAPL","2017-07-24","EJAC",0,80,"Black Surfperch"
"NAPL","2018-07-16","EJAC",1,80,"Black Surfperch"
"NAPL","2019-07-18","EJAC",1,80,"Black Surfperch"
"NAPL","2019-07-18","EJAC",1,80,"Black Surfperch"
"NAPL","2020-07-23","EJAC",1,80,"Black Surfperch"
"NAPL","2021-07-26","EJAC",0,80,"Black Surfperch"
"NAPL","2022-07-19","EJAC",0,80,"Black Surfperch"
"NAPL","2023-07-19","EJAC",3,80,"Black Surfperch"
"NAPL","2024-07-24","EJAC",1,80,"Black Surfperch"
"NAPL","2016-07-26","GNIG",0,80,"Opaleye"
"NAPL","2017-07-24","GNIG",0,80,"Opaleye"
"NAPL","2018-07-16","GNIG",3,80,"Opaleye"
"NAPL","2019-07-18","GNIG",2,80,"Opaleye"
"NAPL","2020-07-23","GNIG",0,80,"Opaleye"
"NAPL","2021-07-26","GNIG",0,80,"Opaleye"
"NAPL","2022-07-19","GNIG",0,80,"Opaleye"
"NAPL","2023-07-19","GNIG",12,80,"Opaleye"
"NAPL","2024-07-24","GNIG",6,80,"Opaleye"
"NAPL","2024-07-24","GNIG",3,80,"Opaleye"
"NAPL","2016-07-26","HSEM",1,80,"Rock Wrasse"
"NAPL","2016-07-26","HSEM",1,80,"Rock Wrasse"
"NAPL","2016-07-26","HSEM",10,80,"Rock Wrasse"
"NAPL","2017-07-24","HSEM",1,80,"Rock Wrasse"
"NAPL","2017-07-24","HSEM",1,80,"Rock Wrasse"
"NAPL","2017-07-24","HSEM",3,80,"Rock Wrasse"
"NAPL","2018-07-16","HSEM",0,80,"Rock Wrasse"
"NAPL","2019-07-18","HSEM",1,80,"Rock Wrasse"
"NAPL","2019-07-18","HSEM",1,80,"Rock Wrasse"
"NAPL","2020-07-23","HSEM",1,80,"Rock Wrasse"
"NAPL","2021-07-26","HSEM",1,80,"Rock Wrasse"
"NAPL","2022-07-19","HSEM",0,80,"Rock Wrasse"
"NAPL","2023-07-19","HSEM",1,80,"Rock Wrasse"
"NAPL","2024-07-24","HSEM",0,80,"Rock Wrasse"
"NAPL","2016-07-26","HRUB",1,80,"Garibaldi"
"NAPL","2016-07-26","HRUB",1,80,"Garibaldi"
"NAPL","2017-07-24","HRUB",0,80,"Garibaldi"
"NAPL","2018-07-16","HRUB",0,80,"Garibaldi"
"NAPL","2019-07-18","HRUB",1,80,"Garibaldi"
"NAPL","2019-07-18","HRUB",1,80,"Garibaldi"
"NAPL","2019-07-18","HRUB",1,80,"Garibaldi"
"NAPL","2020-07-23","HRUB",0,80,"Garibaldi"
"NAPL","2021-07-26","HRUB",1,80,"Garibaldi"
"NAPL","2022-07-19","HRUB",0,80,"Garibaldi"
"NAPL","2023-07-19","HRUB",1,80,"Garibaldi"
"NAPL","2024-07-24","HRUB",1,80,"Garibaldi"
