sample_id,site_name,collection_date,temperature_c,ph,dissolved_oxygen_mg_l,nitrate_mg_l,phosphate_mg_l,turbidity_ntu,bacteria_cfu_ml
WS001,Upstream Creek,2024-01-15,12.3,7.2,9.8,0.5,0.02,2.1,45
WS002,Downstream Creek,2024-01-15,13.1,7.0,8.5,1.2,0.08,5.3,120
WS003,Lake Shore A,2024-01-15,11.8,7.4,10.2,0.3,0.01,1.8,32
WS004,Lake Shore B,2024-01-15,12.0,7.3,9.9,0.4,0.02,2.0,38
WS005,Treatment Plant Outflow,2024-01-15,14.5,6.8,7.2,2.1,0.15,8.7,340
WS006,Upstream Creek,2024-01-22,11.9,7.1,10.1,0.6,0.03,2.3,52
WS007,Downstream Creek,2024-01-22,12.8,6.9,8.8,1.5,0.09,6.1,145
WS008,Lake Shore A,2024-01-22,11.5,7.5,10.5,0.2,0.01,1.5,28
WS009,Lake Shore B,2024-01-22,11.7,7.4,10.0,0.3,0.02,1.9,35
WS010,Treatment Plant Outflow,2024-01-22,15.2,6.7,6.8,2.4,0.18,9.5,410
WS011,Upstream Creek,2024-01-29,12.5,7.3,9.5,0.4,0.02,2.0,48
WS012,Downstream Creek,2024-01-29,13.3,7.1,8.2,1.3,0.10,5.8,135
WS013,Lake Shore A,2024-01-29,12.1,7.4,10.0,0.3,0.01,1.7,30
WS014,Lake Shore B,2024-01-29,12.3,7.3,9.7,0.5,0.03,2.2,42
WS015,Treatment Plant Outflow,2024-01-29,14.8,6.9,7.0,2.2,0.16,9.1,375
WS016,Upstream Creek,2024-02-05,12.0,7.2,9.9,0.5,0.02,2.2,50
WS017,Downstream Creek,2024-02-05,13.0,7.0,8.6,1.4,0.09,5.5,128
WS018,Lake Shore A,2024-02-05,11.6,7.5,10.3,0.2,0.01,1.6,29
WS019,Lake Shore B,2024-02-05,11.9,7.4,10.1,0.4,0.02,1.8,36
WS020,Treatment Plant Outflow,2024-02-05,15.0,6.8,6.9,2.3,0.17,9.3,395
